CONSTRUCTORREF,STATUS,COUNT
mclaren,Gearbox,13
mclaren,Engine,10
mclaren,Power Unit,8
mercedes,Engine,6
mclaren,Suspension,3
mclaren,Power loss,3
mercedes,Gearbox,3
mercedes,Power Unit,3
mclaren,Wheel,3
mclaren,Exhaust,3
mclaren,Clutch,2
mclaren,Brakes,2
mclaren,ERS,2
mclaren,Electrical,2
mercedes,Wheel nut,2
mercedes,Throttle,2
mercedes,Brakes,2
mercedes,Hydraulics,2
mercedes,Electrical,2
mclaren,Oil leak,2
mclaren,Puncture,2
mclaren,Fuel pressure,2
mercedes,Suspension,2
mercedes,Fuel pressure,2
mercedes,Wheel,2
mercedes,Puncture,2
mclaren,Driveshaft,1
mclaren,Battery,1
mclaren,Hydraulics,1
mclaren,Turbo,1
mclaren,Wheel nut,1
mclaren,Vibrations,1
mclaren,Radiator,1
mercedes,Damage,1
mercedes,Overheating,1
mercedes,Rear wing,1
mercedes,Spun off,1
mercedes,Water pressure,1
